"","MAE_OLS","MAE_FGLS","MSE_OLS","MSE_FGLS","Bias_OLS","Bias_FGLS","var_OLS","var_FGLS"
"4Ax4B(3)",10.4846,1.3296,172.5008,2.7906,3.4533,3.4499,169.0474,-0.6627
"4Ax4B(4)",11.0575,1.4244,192.3363,3.6571,3.1626,3.1627,189.1738,0.4945
"4Ax4B(5)",11.4328,1.4594,205.7561,3.7437,2.8885,2.8885,202.8676,0.8552
"4Ax4B(6)",11.6804,1.4659,214.5545,3.713,2.6705,2.6691,211.8841,1.0425
"4Ax4B(7)",11.8423,1.4745,220.7798,3.7365,2.6347,2.6334,218.1451,1.1018
"4Ax4B(8)",11.9796,1.482,225.4761,3.7554,2.4549,2.4537,223.0212,1.3005
"4Ax4B(9)",12.0838,1.4855,229.4206,3.7224,2.3583,2.3576,227.0623,1.3641
"4Ax4B(10)",12.161,1.4869,232.2864,3.7092,2.2397,2.2387,230.0467,1.4695
"4Ax4B(11)",12.2139,1.4916,234.3971,3.7081,2.2332,2.2319,232.1639,1.4749
"4Ax4B(12)",12.2633,1.4932,236.4067,3.7118,2.2043,2.2025,234.2025,1.5075
